State,Population,TotalViolentCrimes,CrimeRate
Alabama,5091382,172059,3379.41
Alaska,733494,29158,3975.28
Arizona,7395270,220755,2985.09
Arkansas,3056684,126190,4128.34
California,38997268,956837,2453.6
Colorado,5858768,141709,2418.75
Connecticut,3621690,61399,1695.32
Delaware,1025143,32388,3159.36
Florida,22427774,516552,2303.18
Georgia,10971052,296160,2699.47
Hawaii,1437667,33994,2364.51
Idaho,1951880,35477,1817.58
Illinois,12565860,441313,3512.0
Indiana,6847618,184150,2689.25
Iowa,3203760,68491,2137.84
Kansas,2938848,99624,3389.9
Kentucky,4519232,90666,2006.22
Louisiana,4581995,165570,3613.5
Maine,1390531,25456,1830.67
Maryland,6172456,167457,2712.97
Massachusetts,6991686,147173,2104.97
Michigan,10035687,334644,3334.54
Minnesota,5727550,96996,1693.5
Mississippi,2939874,74037,2518.39
Missouri,6187056,177878,2875.01
Montana,1127840,28499,2526.87
Nebraska,1973151,49832,2525.48
Nevada,3185974,128993,4048.77
New Hampshire,1398642,28564,2042.28
New Jersey,9276270,164093,1768.95
New Mexico,2113858,90798,4295.35
New York,19624184,511290,2605.41
North Carolina,10767232,307641,2857.2
North Dakota,781594,23663,3027.48
Ohio,11770996,352209,2992.18
Oklahoma,4036812,130019,3220.84
Oregon,4236748,85809,2025.34
Pennsylvania,12966846,253525,1955.18
Rhode Island,1094848,18366,1677.53
South Carolina,5328094,193536,3632.36
South Dakota,914571,29680,3245.25
Tennessee,7088914,287916,4061.5
Texas,30266436,952346,3146.54
Utah,3399267,72948,2145.98
Vermont,647264,7837,1210.85
Virginia,8699658,216649,2490.32
Washington,7799333,179852,2305.99
West Virginia,1772614,34839,1965.38
Wisconsin,5901747,100773,1707.51
Wyoming,582719,14756,2532.22
